"","X1","X2"
"ENSG00000207504.1",-5.50586932573739,-15.1863870003318
"ENSG00000238139.2",-5.18197788844227,-15.104532690837
"ENSG00000242482.3",-5.34986581608966,-15.3296267668876
"ENSG00000238778.1",-5.24200400229848,-15.4087257433443
"ENSG00000225242.2",-5.52522238028773,-15.4017878279766
"ENSG00000225167.1",-5.06607138528091,-14.9898756240205
"ENSG00000212366.1",-5.16313143287222,-14.9826684744507
"ENSG00000251825.1",-5.18234273961023,-14.9731874152594
"ENSG00000200601.1",-5.58992526198379,-15.0982018839723
"ENSG00000252005.2",-5.25179832659662,-15.5126090197738
"ENSG00000229943.1",-5.28831607338195,-15.2195304312349
"ENSG00000206999.1",-5.40805432840456,-15.4109444960958
"ENSG00000224493.1",-5.16317286858654,-15.1986137659717
"ENSG00000252338.1",-5.35491354287688,-15.327707682882
"ENSG00000199921.1",-5.023715903275,-15.3081545955841
"ENSG00000276081.1",-5.02029295578831,-15.3588008130107
"ENSG00000251767.1",-5.09842274565123,-15.10470340322
"ENSG00000243437.3",-5.35032990892102,-15.154769392105
"ENSG00000222849.1",-4.92667718214143,-15.1327835214916
"ENSG00000212308.1",-5.39635149591787,-15.0331520100041
"ENSG00000235011.2",-5.42161269754922,-15.5143833773811
"ENSG00000277670.1",-5.28224990365391,-15.2337055298089
"ENSG00000236407.1",-5.24662842205174,-15.5189020501783
"ENSG00000227937.1",-5.13248380520609,-15.1421831522755
"ENSG00000234683.1",-5.44460812577746,-15.1699278603644
"ENSG00000232622.1",-5.22762068819401,-15.4528711274834
"ENSG00000199934.1",-5.38888086790393,-15.3341524311404
"ENSG00000201620.1",-5.1386383017129,-15.3277222683627
"ENSG00000278281.1",-5.17302700620979,-15.1468437371179
"ENSG00000270507.1",-5.58794418465091,-15.3388017431744
"ENSG00000237959.1",-5.3269865495104,-15.5027331331586
"ENSG00000212459.1",-5.16121023142882,-15.6046785552445
"ENSG00000252752.1",-5.19134645902392,-15.3549716158233
"ENSG00000222664.1",-5.52812430920476,-15.2743546593362
"ENSG00000251837.1",-5.18150940620469,-15.4101967752949
"ENSG00000212601.1",-5.21415529007256,-15.2995989222448
"ENSG00000250890.1",-5.23430943822807,-15.2768167320482
"ENSG00000263526.1",-5.51899014756591,-15.5885083623602
"ENSG00000200800.1",-5.05307559560467,-15.1101040329366
"ENSG00000241992.3",-5.26662689516679,-15.5061417290319
"ENSG00000234226.5",-5.16825813301614,-15.0243781711137
